customer_id,first_name,last_name,email,phone,created_at,marketing_opt_in,loyalty_tier,lifetime_value_bucket
5bcc65aa-dea2-4fd9-83aa-258cda9fbfd8,Sophia,Nguyen,sophia.nguyen114@onelane.com,(804)-632-1520,2024-04-30T02:22:55.389912,true,bronze,low
5d832d92-4a08-4a8e-ac70-7a790e0bb3c8,Noah,Brown,noah.brown213@quibly.co,(425)-659-5557,2024-07-25T16:58:55.389912,true,silver,medium
ca38dee3-9b9e-42b4-a235-cccca247235d,Isabella,Hall,isabella.hall791@mailarrow.io,(304)-294-7224,2023-12-19T01:27:55.389912,true,platinum,high
8c786588-f03f-43b1-9707-02a87515fdaa,Harper,Lewis,harper.lewis137@quibly.co,(280)-765-5803,2024-05-22T07:50:55.389912,false,bronze,low
c32f8409-a717-4977-b243-80ff6cdcee40,Logan,Garcia,logan.garcia91@novaio.net,(303)-589-5554,2025-08-12T12:22:55.389912,false,platinum,high
7ea4bd36-d26e-446a-80e8-da47347bf0de,Harper,Kim,harper.kim728@onelane.com,(823)-850-3803,2023-10-17T22:23:55.389912,true,silver,low
811b1645-d212-4b19-8b45-e5796f2f929e,Isabella,Allen,isabella.allen580@novaio.net,(901)-532-1916,2023-09-29T00:37:55.389912,true,platinum,high
35d80de5-5695-4df8-bccb-459f2785d9c6,Liam,Clark,liam.clark975@mailarrow.io,(417)-871-9179,2023-08-16T01:32:55.389912,false,platinum,high
63a38ac7-f753-45bb-aa1f-6e4a4ff7a9fd,James,Lee,james.lee561@mailarrow.io,(964)-798-8019,2024-05-21T05:21:55.389912,false,platinum,high
89f4c5ce-138a-43fb-a7a0-f10c343726df,Harper,Davis,harper.davis58@onelane.com,(356)-842-3621,2025-02-03T17:05:55.389912,false,bronze,medium
90128eb6-1c7f-4859-a277-1b06740b613f,Noah,Young,noah.young576@onelane.com,(896)-938-2876,2023-09-24T14:07:55.389912,false,platinum,high
9fb955a4-4f17-4595-ba79-1d357eb1f095,Lucas,Robinson,lucas.robinson986@mailarrow.io,(712)-980-3927,2024-03-22T20:26:55.389912,true,platinum,high
e151676c-6bf9-429e-a8fd-abe94b09e749,Olivia,Brown,olivia.brown986@onelane.com,(813)-531-9005,2025-01-04T21:48:55.389912,true,silver,medium
f1fe711f-dbba-4036-b5aa-1fc748d82543,Sophia,Lewis,sophia.lewis590@onelane.com,(287)-949-8962,2024-02-24T02:33:55.389912,true,platinum,high
caa16c72-9985-4025-9078-4c86a3d516ee,Mason,Lee,mason.lee903@quibly.co,(416)-752-4295,2023-03-16T16:26:55.389912,false,silver,medium
d152af9f-92b9-41e4-a01a-7de3037ef558,Elijah,Lewis,elijah.lewis240@onelane.com,(546)-221-4770,2023-05-31T17:08:55.389912,true,platinum,high
12db5fde-1033-4822-90db-414d697307f5,Ava,Garcia,ava.garcia890@mailarrow.io,(272)-726-4899,2025-07-17T02:32:55.389912,false,gold,low
922e5d13-64cf-4175-9b5a-d84c009e3c6e,Emma,Brown,emma.brown600@quibly.co,(448)-684-7669,2025-02-16T09:37:55.389912,true,platinum,high
811933a0-017b-4b2c-baef-d1bc8495c52f,Sophia,Robinson,sophia.robinson894@onelane.com,(889)-869-2612,2023-06-15T22:09:55.389912,true,platinum,high
da8a1b0f-1a7e-4ec0-abe6-40f832044573,Elijah,Clark,elijah.clark469@novaio.net,(632)-387-5563,2025-04-05T02:24:55.389912,false,gold,high
4dca0a8b-6b04-4a42-bc94-57139bbdbbed,Mia,Garcia,mia.garcia563@onelane.com,(295)-971-4872,2023-05-21T16:30:55.389912,true,silver,medium
a760f1a5-cbba-43d5-bbbd-17b7d2ac3deb,Amelia,Torres,amelia.torres70@novaio.net,(588)-202-7396,2023-03-05T02:41:55.389912,false,platinum,high
426a5c21-0c72-4011-ac35-4e5a72a72e96,James,Martinez,james.martinez579@quibly.co,(358)-394-5861,2023-07-01T10:50:55.389912,true,gold,high
9d991a16-6bf7-43e1-a1b0-6d2bef6dfc68,Liam,Patel,liam.patel524@novaio.net,(258)-720-2312,2024-02-11T08:33:55.389912,true,silver,medium
fc45dac9-d7ea-4b30-99b5-d47b62ef984e,Noah,Garcia,noah.garcia593@novaio.net,(792)-808-1651,2024-07-20T21:29:55.389912,true,platinum,high
5c140ea0-d00f-4d10-b058-c2689ffecde3,Amelia,Clark,amelia.clark254@mailarrow.io,(605)-334-5915,2024-05-29T02:54:55.389912,false,platinum,high
5791c3c2-d269-4cd0-92e7-f446b81780c5,Lucas,Garcia,lucas.garcia112@onelane.com,(750)-418-9288,2025-10-25T18:57:55.389912,false,gold,high
629f12a5-726d-4c13-b731-8822d57ee46b,Mason,Lewis,mason.lewis458@mailarrow.io,(826)-869-9666,2025-06-27T02:13:55.389912,true,gold,high
bf3fd5f3-d56a-4051-844d-24b1bb79501f,Olivia,Robinson,olivia.robinson770@novaio.net,(478)-488-4450,2025-02-12T01:29:55.389912,false,platinum,high
1dab56b5-a1a6-4da7-8ee6-291ec817fafb,Logan,Wilson,logan.wilson876@onelane.com,(294)-849-7939,2023-01-13T18:20:55.389912,false,gold,low
d4dfba47-6ca1-4524-bb9f-84420c852ec7,Liam,Nguyen,liam.nguyen175@quibly.co,(764)-922-8007,2024-01-01T04:56:55.389912,true,platinum,high
6535b396-c757-41b8-89e0-dfc195d7fd5a,Sophia,Garcia,sophia.garcia606@novaio.net,(640)-330-1685,2025-01-12T16:34:55.389912,false,silver,medium
f2a6af29-6a85-45df-96ed-b7723cc649d8,Harper,Patel,harper.patel115@mailarrow.io,(773)-616-3532,2023-11-13T02:53:55.389912,true,bronze,low
053484b5-ac88-49bd-a410-ce6ad2b3ff6a,Isabella,Kim,isabella.kim350@quibly.co,(885)-952-5065,2023-07-24T09:25:55.389912,false,platinum,high
4089bfd6-9931-4d51-8565-2878adf01dde,Isabella,Robinson,isabella.robinson214@quibly.co,(558)-512-4728,2023-09-23T07:42:55.389912,true,platinum,high
3dfe8f4a-60b0-4027-8f1e-c06646b3ce5b,Ava,Brown,ava.brown801@mailarrow.io,(559)-856-9346,2023-08-20T23:19:55.389912,false,silver,medium
98f98cdb-ff73-4b91-97a5-e8ab11a9c74b,Lucas,Nguyen,lucas.nguyen281@onelane.com,(311)-810-8119,2025-03-23T01:25:55.389912,false,silver,low
ffd86bac-13ea-446c-aa17-093fa7d4c54e,Lucas,Hall,lucas.hall204@mailarrow.io,(245)-925-8144,2023-01-02T06:12:55.389912,true,platinum,high
64289740-1fb1-4978-a85a-82a33c558142,Logan,Lewis,logan.lewis648@mailarrow.io,(879)-327-5920,2023-06-15T06:54:55.389912,false,gold,low
d7532842-1a54-4ba4-ab2a-4992a207c3f9,Amelia,Clark,amelia.clark206@quibly.co,(880)-588-3851,2023-08-12T11:18:55.389912,false,silver,low
b907ae8f-5f7f-4d97-94e6-7d3c67df062d,Elijah,Nguyen,elijah.nguyen603@mailarrow.io,(676)-652-8244,2024-03-02T00:23:55.389912,true,bronze,low
f5af53c5-0adf-4fde-9ce7-6919e115d857,Emma,Kim,emma.kim644@mailarrow.io,(295)-969-4848,2025-05-25T00:04:55.389912,false,silver,low
0cb2a6da-4ffd-4438-8149-60efe43882a1,Mia,Brown,mia.brown496@onelane.com,(666)-624-4185,2025-01-17T09:34:55.389912,false,platinum,high
5232d7aa-f395-4f8f-a7a0-168eaacab46b,Emma,Young,emma.young924@onelane.com,(635)-424-3881,2024-07-03T04:55:55.389912,false,platinum,high
6287b181-747c-4b59-9aee-a602b423a531,Liam,Davis,liam.davis693@mailarrow.io,(973)-653-9270,2025-03-10T19:28:55.389912,false,gold,high
2c95bc57-eca1-46df-b045-b8e28ea0e2de,James,Kim,james.kim870@mailarrow.io,(984)-733-8939,2023-03-17T19:20:55.389912,true,platinum,high
a99f06b3-2c0b-4b7f-a71c-cb46dbeddd61,Ethan,Allen,ethan.allen353@mailarrow.io,(753)-282-3267,2025-06-08T11:18:55.389912,true,platinum,high
142c43e9-984f-4eed-82aa-59aad83768f7,Mia,Young,mia.young427@mailarrow.io,(755)-677-7812,2025-01-05T11:23:55.389912,true,platinum,high
323366b3-37a5-40b4-9811-2ed2bfc438a2,Logan,Hall,logan.hall911@quibly.co,(688)-206-6763,2023-09-08T14:52:55.389912,false,gold,high
ac1d9235-cfb3-423e-98ca-ae75cdd12371,Elijah,Hall,elijah.hall507@onelane.com,(598)-544-7624,2024-08-19T18:22:55.389912,true,bronze,medium
77bd253b-8813-4c60-a35d-042d887b91a3,James,Lee,james.lee587@onelane.com,(285)-858-8022,2022-11-17T08:38:55.389912,true,platinum,high
fd25b3dd-4e65-4740-8099-e767029cf5b5,James,Kim,james.kim475@mailarrow.io,(545)-979-7211,2025-08-04T01:12:55.389912,false,gold,high
fc661563-a6ea-47a9-a1f7-e31384d66ca2,Amelia,Wilson,amelia.wilson63@mailarrow.io,(429)-865-2124,2025-05-30T18:35:55.389912,true,platinum,high
043d7a2f-b629-4c9c-8fce-da8fb3334a4b,Ava,Davis,ava.davis139@quibly.co,(885)-317-4571,2024-10-02T08:57:55.389912,false,platinum,high
e138ad92-760a-454b-88d1-7d9bd11e5ace,Ethan,Lewis,ethan.lewis745@onelane.com,(367)-518-2771,2024-12-05T13:58:55.389912,true,platinum,high
a61a5813-7c05-4875-86af-178b2319664d,Olivia,Young,olivia.young717@novaio.net,(304)-913-5941,2023-08-24T11:24:55.389912,true,bronze,low
e5d5648b-6ad6-4f96-bc52-73bb38557f03,Liam,Lewis,liam.lewis528@mailarrow.io,(212)-630-9031,2022-11-18T19:54:55.389912,true,bronze,low
e62d5567-0c93-43e6-a5f3-7805e070860d,Amelia,Lewis,amelia.lewis761@mailarrow.io,(830)-751-8921,2023-04-17T11:27:55.389912,false,gold,high
56763e32-d343-40a1-adeb-29ca081487cd,Amelia,Wilson,amelia.wilson295@quibly.co,(449)-968-8613,2024-01-24T01:43:55.389912,false,gold,high
f5947180-e154-4fe8-8e8c-29732f8d26c1,Lucas,Nguyen,lucas.nguyen373@mailarrow.io,(548)-486-5526,2023-02-05T23:25:55.389912,true,gold,high
49a6f28d-d4e3-4d9a-9038-e04781b99fa5,Logan,Garcia,logan.garcia786@novaio.net,(907)-687-9041,2024-07-07T10:10:55.389912,false,bronze,low
e021d694-3d99-4bf7-a848-5e1fa3a13114,Ava,Garcia,ava.garcia323@mailarrow.io,(684)-766-9698,2024-03-22T02:11:55.389912,false,platinum,high
347bec57-3b6a-4a78-ad89-82cc66c41823,Amelia,Clark,amelia.clark267@novaio.net,(323)-938-4155,2023-11-24T11:07:55.389912,false,bronze,low
006b30b5-9fc9-46bc-a2aa-a0f466b04d87,Sophia,Kim,sophia.kim751@mailarrow.io,(302)-398-5853,2024-10-18T02:49:55.389912,true,bronze,low
1154abd2-a6ef-4e3b-9582-beff25dd2a3d,Harper,Kim,harper.kim290@onelane.com,(255)-766-5786,2024-03-05T08:51:55.389912,true,silver,medium
dd01b764-7e53-4aa6-9096-85831afb63ad,Emma,Robinson,emma.robinson461@mailarrow.io,(388)-252-5136,2025-10-19T15:18:55.389912,false,silver,medium
3150f9fd-e56d-43c5-b75f-31e999845886,Sophia,Garcia,sophia.garcia712@onelane.com,(355)-352-5978,2023-08-16T18:32:55.389912,true,platinum,high
ad1d3024-db93-422e-85fd-fb43d8b33377,Mia,Robinson,mia.robinson241@quibly.co,(661)-653-5871,2023-07-15T13:58:55.389912,false,platinum,high
435d7c06-53e9-4182-8dae-14b4be39c1a4,Olivia,Patel,olivia.patel686@onelane.com,(360)-445-3847,2025-04-25T02:56:55.389912,true,bronze,low
63aed06e-4eef-4a76-ac83-63e42161b0d0,Isabella,Nguyen,isabella.nguyen308@onelane.com,(437)-495-5632,2023-07-31T18:52:55.389912,false,gold,high
ec4fbda5-41b4-40c9-87df-27086a5b27f9,Noah,Davis,noah.davis966@novaio.net,(635)-317-9922,2024-05-21T12:59:55.389912,true,platinum,high
1f577534-1f07-4b83-ae67-5b58ae7a6035,Mason,Wilson,mason.wilson324@mailarrow.io,(649)-327-8679,2025-01-27T07:33:55.389912,false,silver,medium
67ed9095-36c6-4791-abe0-2783a8c80f50,Elijah,Wilson,elijah.wilson622@onelane.com,(642)-952-6280,2023-01-24T16:05:55.389912,false,bronze,medium
c963aada-496b-4bb2-a133-4f447c090656,Ava,Garcia,ava.garcia611@onelane.com,(983)-888-5415,2024-08-02T11:43:55.389912,true,silver,medium
75d615fc-f638-4b03-bc7c-410b8572dd5c,Isabella,Torres,isabella.torres195@quibly.co,(850)-703-2494,2022-12-17T13:08:55.389912,false,platinum,high
a33d790b-90fa-48bc-a3a2-83afbb609644,Harper,Hall,harper.hall174@mailarrow.io,(621)-910-9117,2024-01-01T22:54:55.389912,false,platinum,high
23ceb14c-0a02-40bf-a585-d3e63514d8c8,Elijah,Patel,elijah.patel128@quibly.co,(726)-201-9889,2023-04-28T07:16:55.389912,false,bronze,low
a7c02437-3ef7-4f6d-922f-22adebd2da9c,Amelia,Patel,amelia.patel520@quibly.co,(978)-252-4335,2024-10-25T17:13:55.389912,false,silver,low
8a60669f-37aa-402d-9c67-1c413e12b55f,Mason,Martinez,mason.martinez655@novaio.net,(926)-362-6091,2023-05-31T11:05:55.389912,true,platinum,high
5a29757f-1d09-4130-8bf8-c4c84dec49e6,Amelia,Garcia,amelia.garcia673@novaio.net,(710)-933-5781,2024-08-11T06:07:55.389912,false,gold,low
328fba9e-ea36-41b5-9324-d68824a359fa,Amelia,Torres,amelia.torres402@novaio.net,(813)-720-3236,2023-03-23T02:07:55.389912,true,gold,high
4f960f46-01dc-46bd-aad6-2a8333d749ae,Ethan,Hall,ethan.hall299@mailarrow.io,(801)-793-9022,2023-12-18T17:19:55.389912,true,gold,low
ee54b3b8-2937-4895-b90f-cf9133ec9336,James,Torres,james.torres396@quibly.co,(529)-393-4912,2023-12-08T23:01:55.389912,false,silver,low
